period_start,period_end,period_factor
1927-06-30,1928-05-31,1.01089551926991
1928-06-30,1929-05-31,1.0114191078887693
1929-06-30,1930-05-31,1.0055379602465153
1930-06-30,1931-05-31,1.1032303883222232
1931-06-30,1932-05-31,1.1152125662505912
1932-06-30,1933-05-31,1.086358920708832
1933-06-30,1934-05-31,0.9462595577877115
1934-06-30,1935-05-31,0.9630759902044558
1935-06-30,1936-05-31,1.0071398241706175
1936-06-30,1937-05-31,0.9510489498300319
1937-06-30,1938-05-31,1.0207327307664942
1938-06-30,1939-05-31,1.0215827344938406
1939-06-30,1940-05-31,0.9850976364915536
1940-06-30,1941-05-31,0.9719294887491118
1941-06-30,1942-05-31,0.882005153467694
1942-06-30,1943-05-31,0.9307056410380363
1943-06-30,1944-05-31,0.9998678822597431
1944-06-30,1945-05-31,0.9775280888439222
1945-06-30,1946-05-31,0.9672124719583507
1946-06-30,1947-05-31,0.840127048280978
1947-06-30,1948-05-31,0.9149159391114445
1948-06-30,1949-05-31,1.0037352921062535
1949-06-30,1950-05-31,1.0038824391975496
1950-06-30,1951-05-31,0.9142169426211453
1951-06-30,1952-05-31,0.9808464129896565
1952-06-30,1953-05-31,0.9886376452021962
1953-06-30,1954-05-31,0.992482448771954
1954-06-30,1955-05-31,1.0074626861631248
1955-06-30,1956-05-31,0.9888201516211143
1956-06-30,1957-05-31,0.9640792205640422
1957-06-30,1958-05-31,0.9686774989631511
1958-06-30,1959-05-31,0.9964684501665456
1959-06-30,1960-05-31,0.9829703747314266
1960-06-30,1961-05-31,0.989876316264338
1961-06-30,1962-05-31,0.9866666668063435
1962-06-30,1963-05-31,0.990131578942765
1963-06-30,1964-05-31,0.9870129866344844
1964-06-30,1965-05-31,0.9840051469815366
1965-06-30,1966-05-31,0.9719916976376053
1966-06-30,1967-05-31,0.9727729396964228
1967-06-30,1968-05-31,0.9621925070003919
1968-06-30,1969-05-31,0.9475371541346799
1969-06-30,1970-05-31,0.9427088348407865
1970-06-30,1971-05-31,0.9576241216146817
1971-06-30,1972-05-31,0.9686157169266603
1972-06-30,1973-05-31,0.947313267675224
1973-06-30,1974-05-31,0.9022780320016294
1974-06-30,1975-05-31,0.9128215106855511
1975-06-30,1976-05-31,0.9412209023970179
1976-06-30,1977-05-31,0.9365967048443002
1977-06-30,1978-05-31,0.9344812105148571
1978-06-30,1979-05-31,0.9012067740387889
1979-06-30,1980-05-31,0.872703101828169
1980-06-30,1981-05-31,0.910168481783283
1981-06-30,1982-05-31,0.9368923853063115
1982-06-30,1983-05-31,0.9654211851298391
1983-06-30,1984-05-31,0.9592197010443325
1984-06-30,1985-05-31,0.963513096116192
1985-06-30,1986-05-31,0.9852108408640584
1986-06-30,1987-05-31,0.9626997755153376
1987-06-30,1988-05-31,0.9624063035140072
1988-06-30,1989-05-31,0.9488611558893295
1989-06-30,1990-05-31,0.9579915583826115
1990-06-30,1991-05-31,0.9525249139220746
1991-06-30,1992-05-31,0.9705594340631927
1992-06-30,1993-05-31,0.9686896050758119
1993-06-30,1994-05-31,0.9775639602483586
1994-06-30,1995-05-31,0.9690203692742958
1995-06-30,1996-05-31,0.9717900212067738
1996-06-30,1997-05-31,0.9780804563439532
1997-06-30,1998-05-31,0.9833778234350642
1998-06-30,1999-05-31,0.9794624641080145
1999-06-30,2000-05-31,0.9689461242399819
2000-06-30,2001-05-31,0.9649543137452218
2001-06-30,2002-05-31,0.9881775945755766
2002-06-30,2003-05-31,0.9796940402802414
2003-06-30,2004-05-31,0.9702151723626168
2004-06-30,2005-05-31,0.9725383233178682
2005-06-30,2006-05-31,0.959546986568863
2006-06-30,2007-05-31,0.9735289085990405
2007-06-30,2008-05-31,0.959658041169585
2008-06-30,2009-05-31,1.0121837456850502
2009-06-30,2010-05-31,0.9800743650174127
2010-06-30,2011-05-31,0.9653369514053227
2011-06-30,2012-05-31,0.9831154020739011
2012-06-30,2013-05-31,0.9863932286912424
2013-06-30,2014-05-31,0.9790626685915493
2014-06-30,2015-05-31,1.0002182912252955
2015-06-30,2016-05-31,0.9898167421347607
2016-06-30,2017-05-31,0.9815195553896268
2017-06-30,2018-05-31,0.972629053701073
2018-06-30,2019-05-31,0.982299950291067
2019-06-30,2020-05-31,0.9987404176953221
2020-06-30,2021-05-31,0.9521624565660657
2021-06-30,2022-05-31,0.9203144390806759
2022-06-30,2023-05-31,0.9607541404803046
2023-06-30,2024-05-31,0.9681778002256889
2024-06-30,2025-05-31,0.9769067233922021
